[Tue Sep 23 19:42:31 2014] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected end of file in /var/www/kids.kinu.co.tz/includes/functions.php on line 114
[Tue Sep 23 19:42:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 19:42:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 19:42:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 19:42:59 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:30 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:30 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:30 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:30 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:31 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:42:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:43:50 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:43:50 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:43:50 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:43:50 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:48:10 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:48:10 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:48:10 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:48:10 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:23 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:35 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:35 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:35 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:50:35 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:55:09 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:55:09 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:55:09 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 20:55:09 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /var/www/kids.kinu.co.tz/includes/functions.php on line 63
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: output in /var/www/kids.kinu.co.tz/includes/functions.php on line 87
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:29:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /var/www/kids.kinu.co.tz/includes/functions.php on line 60
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: output in /var/www/kids.kinu.co.tz/includes/functions.php on line 81
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:38 2014] [error] [client 127.0.0.1] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /var/www/kids.kinu.co.tz/includes/functions.php on line 60
[Tue Sep 23 21:51:38 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: output in /var/www/kids.kinu.co.tz/includes/functions.php on line 81
[Tue Sep 23 21:51:38 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:38 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:51:38 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
